Intake.Type,Intake.Subtype,Animal.Type,Sex,Intake.Condition,Breed,Coat.Color.Pattern,Week.Number,Age
PUBLIC AST,QUARANTINE,CAT,S,NORMAL,DOMESTIC SH,TORBIE,21.14,18.243
OWNER SUR,OTC,DOG,N,NORMAL,PIT BULL,BR BRINDLE,21.14,13.186
STRAY,FIELD,DOG,M,NORMAL,ROTTWEILER,BLACK,21.14,13.186
STRAY,OTC,CAT,S,NORMAL,DOMESTIC MH,BRN TABBY,21.14,13.936
PUBLIC AST,QUARANTINE,DOG,N,NORMAL,DACHSHUND,BLACK,21.14,20.047
STRAY,FIELD,DOG,N,NORMAL,ROTTWEILER,BLACK,21.14,19.189
STRAY,OTC,CAT,N,INJURED,DOMESTIC SH,BLACK,21.14,20.189
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,CALICO,21.14,20.189
STRAY,OTC,DOG,N,NORMAL,LABRADOR RETR,TAN,21.14,20.708
PUBLIC AST,QUARANTINE,DOG,N,NORMAL,GERM SHEPHERD,BLACK,21.14,20.891
OWNER SUR,OTC,CAT,N,NORMAL,DOMESTIC SH,BRN TABBY,21.14,21.189
STRAY,FIELD,CAT,N,SICK,DOMESTIC SH,CRM TABBY,21.14,22.186
PUBLIC AST,QUARANTINE,DOG,S,NORMAL,JACK RUSS TERR,TAN,21.14,22.189
OWNER SUR,OTC,DOG,S,NORMAL,SHIBA INU,RED,21.14,24.243
STRAY,OTC,DOG,N,NORMAL,GOLDEN RETR,RED,21.14,4.186
PUBLIC AST,QUARANTINE,DOG,S,NORMAL,GERM SHEPHERD,BLACK,21.14,7.249
OWNER SUR,OTC,CAT,M,INJURED,DOMESTIC SH,BRN TABBY,21.14,1.086
STRAY,FIELD,CAT,U,NURSING,DOMESTIC SH,GRAY,21.29,1.189
STRAY,OTC,CAT,S,NORMAL,DOMESTIC SH,TORTIE,21.29,1.31
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,ORG TABBY,21.29,1.31
STRAY,OTC,CAT,M,NORMAL,DOMESTIC SH,BLACK,21.29,1.603
STRAY,OTC,CAT,F,INJURED,DOMESTIC SH,BLACK,21.29,1.622
PUBLIC AST,QUARANTINE,CAT,M,NORMAL,DOMESTIC MH,CRM TABBY,21.29,1.603
OWNER SUR,NO SUBTYPE,CAT,S,NORMAL,DOMESTIC MH,BRN TABBY,21.29,1.603
OWNER SUR,NO SUBTYPE,CAT,N,NORMAL,DOMESTIC SH,WHITE,21.29,1.603
OWNER SUR,NO SUBTYPE,CAT,N,NORMAL,DOMESTIC MH,BRN TABBY,21.29,1.603
OWNER SUR,OTC,CAT,N,NORMAL,DOMESTIC SH,BRN TABBY,21.29,1.727
OWNER SUR,OTC,CAT,N,NORMAL,DOMESTIC SH,BRN TABBY,21.29,1.727
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,BLUE TABBY,21.29,1.727
OWNER SUR,OTC,DOG,S,SICK,PIT BULL,BLACK,21.29,1.829
STRAY,EMERG CLC,DOG,S,NORMAL,LABRADOR RETR,TAN,21.29,1.952
STRAY,OTC,DOG,S,NORMAL,AUST CATTLE DOG,WHITE,21.29,3.176
STRAY,OTC,CAT,F,PREGNANT,DOMESTIC SH,ORG TABBY,21.29,2.186
STRAY,NO SUBTYPE,CAT,N,NORMAL,DOMESTIC SH,BLACK,21.29,2.186
OWNER SUR,OTC,DOG,N,NORMAL,BORDER COLLIE,BLACK,21.29,2.996
STRAY,OTC,DOG,M,NORMAL,PEKINGESE,FAWN,21.29,2.996
STRAY,OTC,DOG,S,NORMAL,IBIZAN HOUND,BR BRINDLE,21.29,18.186
OWNER SUR,OTC,CAT,N,NORMAL,DOMESTIC SH,BRN TABBY,21.29,18.186
STRAY,OTC,DOG,S,NORMAL,PIT BULL,WHITE,21.29,18.186
OWNER SUR,OTC,DOG,N,NORMAL,CHIHUAHUA SH,CHOCOLATE,21.29,18.186
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC MH,BLACK,21.29,20.189
STRAY,FIELD,DOG,S,NORMAL,AMERICAN STAFF,BLUE,21.29,19.189
OWNER SUR,FIELD,CAT,M,INJURED,DOMESTIC SH,ORG TABBY,21.29,20.189
PUBLIC AST,QUARANTINE,CAT,S,NORMAL,DOMESTIC LH,BLACK,21.29,21.358
OWNER SUR,OTC,DOG,N,NORMAL,JACK RUSS TERR,TAN,21.29,21.189
STRAY,OTC,DOG,S,NORMAL,LABRADOR RETR,CHOCOLATE,21.29,24.219
STRAY,FOUND IN,CAT,U,NURSING,DOMESTIC SH,CRM TABBY,21.43,1.189
STRAY,FOUND IN,CAT,U,NURSING,DOMESTIC SH,CRM TABBY,21.43,1.189
STRAY,OTC,DOG,S,NURSING,LABRADOR RETR,YELLOW,21.43,1.194
STRAY,OTC,DOG,S,NURSING,LABRADOR RETR,BLACK,21.43,1.194
STRAY,OTC,DOG,S,NURSING,LABRADOR RETR,BLACK,21.43,1.194
STRAY,OTC,DOG,N,NURSING,LABRADOR RETR,BLACK,21.43,1.194
STRAY,OTC,DOG,N,NURSING,LABRADOR RETR,BLACK,21.43,1.194
OWNER SUR,OTC,CAT,S,NURSING,DOMESTIC MH,BRN TABBY,21.43,1.299
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,WHITE,21.43,1.31
STRAY,OTC,CAT,S,NORMAL,DOMESTIC SH,BLACK,21.43,1.31
STRAY,OTC,CAT,S,NORMAL,DOMESTIC SH,BLACK,21.43,1.31
STRAY,OTC,CAT,S,NORMAL,DOMESTIC SH,BLACK,21.43,1.31
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,BLACK,21.43,1.31
STRAY,OTC,CAT,S,NORMAL,DOMESTIC MH,BLACK,21.43,1.31
STRAY,EMERG CLC,DOG,N,INJURED,COCKER SPAN,BUFF,21.43,1.603
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,CRM TABBY,21.43,1.603
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,CRM TABBY,21.43,1.603
OWNER SUR,OTC,CAT,S,NURSING,DOMESTIC SH,BLACK,21.43,1.272
STRAY,OTC,DOG,N,NORMAL,GERM SHEPHERD,BROWN,21.43,1.332
STRAY,OTC,DOG,N,NORMAL,BEAGLE,WHITE,21.43,1.335
STRAY,OTC,CAT,S,NORMAL,DOMESTIC SH,CALICO,21.43,1.343
STRAY,OTC,CAT,N,NORMAL,DOMESTIC MH,BRN TABBY,21.43,1.283
STRAY,OTC,DOG,F,SICK,CHIHUAHUA SH,TAN,21.43,1.622
OWNER SUR,OTC,CAT,N,NURSING,DOMESTIC SH,BLACK,21.43,1.622
OWNER SUR,OTC,CAT,N,NURSING,DOMESTIC SH,BLACK,21.43,1.622
OWNER SUR,OTC,CAT,N,NURSING,DOMESTIC SH,BLACK,21.43,1.622
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,ORG TABBY,21.43,1.638
STRAY,FIELD,CAT,N,NORMAL,DOMESTIC SH,BLUE,21.43,1.686
OWNER SUR,OTC,CAT,N,NURSING,DOMESTIC SH,BRN TABBY,21.43,1.603
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,CRM TABBY,21.43,1.603
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,CRM TABBY,21.43,1.603
STRAY,OTC,CAT,N,NORMAL,DOMESTIC MH,WHITE,21.43,1.635
STRAY,OTC,CAT,S,NORMAL,DOMESTIC SH,BLACK,21.43,1.676
STRAY,OTC,CAT,S,NORMAL,DOMESTIC SH,BRN TABBY,21.43,1.705
STRAY,OTC,DOG,N,NORMAL,DACHSHUND,TRICOLOR,21.43,1.829
OWNER SUR,OTC,DOG,S,NORMAL,PIT BULL,WHITE,21.43,1.966
OWNER SUR,OTC,DOG,S,NORMAL,PIT BULL,WHITE,21.43,1.966
OWNER SUR,OTC,DOG,S,NORMAL,PIT BULL,WHITE,21.43,1.966
STRAY,OTC,DOG,N,INJURED,CHIHUAHUA SH,CHOCOLATE,21.43,1.991
OWNER SUR,OTC,DOG,N,NORMAL,CHIHUAHUA SH,WHITE,21.43,3.186
STRAY,OTC,DOG,S,NORMAL,LABRADOR RETR,CREAM,21.43,2.377
STRAY,OTC,DOG,N,SICK,POODLE MIN,WHITE,21.43,2.355
STRAY,OTC,DOG,S,NORMAL,CHIHUAHUA SH,CREAM,21.43,2.355
STRAY,OTC,CAT,S,NORMAL,DOMESTIC SH,BRN TABBY,21.43,13.243
STRAY,OTC,DOG,N,NORMAL,BOXER,BR BRINDLE,21.43,2.186
STRAY,FIELD,DOG,N,NORMAL,LABRADOR RETR,BLACK,21.43,2.996
OWNER SUR,OTC,CAT,F,NURSING,DOMESTIC LH,BRN TABBY,21.43,2.996
OWNER SUR,OTC,CAT,S,NURSING,DOMESTIC SH,BLACK,21.43,13.186
STRAY,OTC,CAT,S,NORMAL,DOMESTIC SH,TORBIE,21.43,13.186
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,BLACK,21.43,13.186
STRAY,FIELD,DOG,N,NORMAL,SIBERIAN HUSKY,WHITE,21.43,13.186
STRAY,FIELD,DOG,N,NORMAL,CHIHUAHUA LH,BROWN,21.43,13.186
STRAY,OTC,DOG,S,NORMAL,GREAT PYRENEES,WHITE,21.43,13.186
STRAY,OTC,DOG,M,NORMAL,PIT BULL,RED,21.43,13.186
STRAY,OTC,CAT,S,NORMAL,DOMESTIC SH,BLUE,21.43,13.186
OWNER SUR,OTC,DOG,N,NORMAL,PIT BULL,WHITE,21.43,13.219
OWNER SUR,OTC,DOG,N,INJURED,CHIHUAHUA SH,WHITE,21.43,13.611
STRAY,FIELD,DOG,N,NORMAL,STAFFORDSHIRE,WHITE,21.43,18.186
OWNER SUR,OTC,DOG,N,NORMAL,GERM SHEPHERD,TAN,21.43,18.186
STRAY,FIELD,DOG,S,NORMAL,PIT BULL,BROWN,21.43,18.186
STRAY,OTC,CAT,S,NORMAL,DOMESTIC SH,WHITE,21.43,20.022
STRAY,OTC,DOG,F,NORMAL,CHIHUAHUA SH,WHITE,21.43,19.189
STRAY,FIELD,CAT,N,INJURED,DOMESTIC LH,ORG TABBY,21.43,19.219
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC LH,CRM TABBY,21.43,20.189
STRAY,OTC,DOG,N,NORMAL,CHIHUAHUA LH,BUFF,21.43,23.235
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,BLACK,21.43,22.189
STRAY,OTC,DOG,S,NORMAL,LABRADOR RETR,YELLOW,21.43,22.716
STRAY,EMERG CLC,DOG,S,AGED,DACHSHUND,RED,21.43,8.38
OWNER SUR,OTC,DOG,M,NORMAL,COCKER SPAN,BLACK,21.43,8.189
STRAY,FIELD,CAT,M,SICK,DOMESTIC SH,ORG TABBY,21.57,1.26
STRAY,FIELD,CAT,M,SICK,DOMESTIC SH,ORG TABBY,21.57,1.26
STRAY,FIELD,CAT,M,SICK,DOMESTIC SH,CRM TABBY,21.57,1.26
STRAY,FIELD,DOG,N,NORMAL,AUST CATTLE DOG,BLACK,21.57,1.288
STRAY,FIELD,DOG,N,NORMAL,AUST CATTLE DOG,BLACK,21.57,1.288
STRAY,FIELD,DOG,S,NORMAL,AUST CATTLE DOG,BLACK,21.57,1.288
STRAY,FIELD,DOG,N,NORMAL,AUST CATTLE DOG,WHITE,21.57,1.288
STRAY,FIELD,DOG,S,NORMAL,AUST CATTLE DOG,WHITE,21.57,1.288
STRAY,FIELD,DOG,S,NORMAL,AUST CATTLE DOG,BLACK,21.57,1.288
STRAY,OTC,CAT,S,NORMAL,DOMESTIC SH,BRN TABBY,21.57,1.31
STRAY,OTC,CAT,S,NURSING,DOMESTIC SH,TORTIE,21.57,1.31
STRAY,OTC,CAT,S,NORMAL,DOMESTIC SH,TORTIE,21.57,1.31
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,BLACK,21.57,1.31
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,BLACK,21.57,1.31
STRAY,OTC,CAT,S,NORMAL,DOMESTIC SH,BLACK,21.57,1.31
STRAY,OTC,CAT,M,NURSING,DOMESTIC MH,BLACK,21.57,1.31
STRAY,FIELD,DOG,N,NORMAL,GERM SHEPHERD,BROWN,21.57,1.321
STRAY,OTC,DOG,S,NORMAL,DACHSHUND,BLACK,21.57,1.272
STRAY,OTC,CAT,S,NORMAL,DOMESTIC SH,TORTIE,21.57,1.343
STRAY,OTC,CAT,S,NORMAL,DOMESTIC SH,BLUE TABBY,21.57,1.346
STRAY,OTC,CAT,S,NORMAL,DOMESTIC SH,BLUE,21.57,1.346
STRAY,OTC,CAT,S,NORMAL,DOMESTIC SH,BRN TABBY,21.57,1.346
ABANDONED,NO SUBTYPE,CAT,S,NORMAL,DOMESTIC SH,BRN TABBY,21.57,1.646
ABANDONED,NO SUBTYPE,CAT,S,NORMAL,DOMESTIC SH,BRN TABBY,21.57,1.646
ABANDONED,NO SUBTYPE,CAT,S,NORMAL,DOMESTIC SH,BRN TABBY,21.57,1.646
ABANDONED,NO SUBTYPE,CAT,S,NORMAL,DOMESTIC SH,BRN TABBY,21.57,1.646
STRAY,OTC,CAT,S,NURSING,DOMESTIC LH,BRN TABBY,21.57,1.646
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,BLACK,21.57,1.652
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,BRN TABBY,21.57,1.663
STRAY,FIELD,DOG,S,NORMAL,GERM SHEPHERD,BLACK,21.57,1.603
OWNER SUR,OTC,CAT,N,NORMAL,DOMESTIC SH,BRN TABBY,21.57,1.603
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,BRN TABBY,21.57,1.603
OWNER SUR,OTC,CAT,N,NORMAL,DOMESTIC SH,BRN TABBY,21.57,1.603
OWNER SUR,OTC,DOG,N,NORMAL,CATAHOULA,BLUE MERLE,21.57,1.603
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,BRN TABBY,21.57,1.603
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,BRN TABBY,21.57,1.603
OWNER SUR,OTC,CAT,N,NORMAL,DOMESTIC SH,BRN TABBY,21.57,1.603
OWNER SUR,OTC,CAT,N,NORMAL,DOMESTIC SH,BRN TABBY,21.57,1.666
PUBLIC AST,COLD WEATH,DOG,S,NORMAL,GERM SHEPHERD,BROWN,21.57,1.791
STRAY,OTC,DOG,N,NORMAL,CHIHUAHUA SH,BLACK,21.57,1.816
STRAY,OTC,DOG,S,NORMAL,LABRADOR RETR,BLACK,21.57,3.103
STRAY,OTC,DOG,F,NORMAL,CHIHUAHUA SH,TRICOLOR,21.57,3.103
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC MH,TORTIE,21.57,3.205
PUBLIC AST,QUARANTINE,CAT,F,NORMAL,DOMESTIC SH,TORBIE,21.57,3.186
STRAY,FIELD,DOG,N,NORMAL,BORDER TERRIER,TAN,21.57,2.391
OWNER SUR,OTC,DOG,N,NORMAL,GERM SHEPHERD,BR BRINDLE,21.57,2.405
STRAY,FIELD,DOG,S,NORMAL,CHIHUAHUA LH,BLACK,21.57,2.186
PUBLIC AST,COLD WEATH,DOG,S,NORMAL,GERM SHEPHERD,BROWN,21.57,2.186
STRAY,OTC,DOG,N,NORMAL,DACHSHUND,RED,21.57,2.186
OWNER SUR,OTC,DOG,N,NORMAL,BORDER COLLIE,BLUE MERLE,21.57,2.757
PUBLIC AST,QUARANTINE,DOG,N,NORMAL,PIT BULL,RED,21.57,2.996
OWNER SUR,OTC,DOG,S,NORMAL,RHOD RIDGEBACK,RED,21.57,2.936
STRAY,OTC,DOG,N,NORMAL,AMERICAN STAFF,BR BRINDLE,21.57,13.186
STRAY,OTC,CAT,N,NORMAL,DOMESTIC LH,BLACK,21.57,13.186
STRAY,FIELD,CAT,S,SICK,DOMESTIC SH,ORG TABBY,21.57,13.186
STRAY,OTC,DOG,N,NORMAL,AKITA,TAN,21.57,13.186
STRAY,OTC,CAT,S,NURSING,DOMESTIC SH,BLACK,21.57,13.186
OWNER SUR,OTC,CAT,N,NORMAL,DOMESTIC LH,LYNX PT,21.57,13.186
STRAY,OTC,DOG,N,NORMAL,BOSTON TERRIER,BLACK,21.57,13.936
STRAY,OTC,DOG,N,NORMAL,CHIHUAHUA SH,TAN,21.57,18.186
OWNER SUR,OTC,DOG,M,NORMAL,LABRADOR RETR,BLACK,21.57,18.939
OWNER SUR,OTC,DOG,S,NORMAL,GERM SHEPHERD,TAN,21.57,19.189
PUBLIC AST,COLD WEATH,DOG,N,NORMAL,GREYHOUND,BLACK,21.57,19.189
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,ORG TABBY,21.57,20.189
STRAY,OTC,DOG,N,NORMAL,DACHSHUND,BROWN,21.57,20.189
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,ORG TABBY,21.57,22.208
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC LH,BRN TABBY,21.57,21.808
STRAY,FIELD,DOG,N,NORMAL,PIT BULL,WHITE,21.57,21.824
STRAY,FIELD,DOG,N,NORMAL,AMER ESKIMO,WHITE,21.57,23.079
PUBLIC AST,QUARANTINE,DOG,M,NORMAL,DACHSHUND,RED,21.57,23.052
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,BLUE TABBY,21.57,22.963
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,ORG TABBY,21.57,23.219
PUBLIC AST,INVESTIGAT,DOG,S,NORMAL,STAFFORDSHIRE,BLACK,21.57,3.197
STRAY,OTC,CAT,F,SICK,DOMESTIC SH,BLACK,21.57,14.254
STRAY,OTC,CAT,S,NURSING,DOMESTIC SH,BRN TABBY,21.71,1.263
STRAY,OTC,CAT,N,NURSING,DOMESTIC SH,BRN TABBY,21.71,1.263
STRAY,OTC,CAT,N,NURSING,DOMESTIC SH,WHITE,21.71,1.263
STRAY,OTC,CAT,S,NURSING,DOMESTIC SH,TORTIE,21.71,1.263
STRAY,OTC,CAT,S,NURSING,DOMESTIC SH,BLACK,21.71,1.263
STRAY,OTC,CAT,N,NURSING,DOMESTIC SH,BLACK,21.71,1.263
STRAY,OTC,CAT,N,NURSING,DOMESTIC SH,BRN TABBY,21.71,1.288
STRAY,OTC,CAT,N,SICK,DOMESTIC SH,BRN TABBY,21.71,1.288
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,TORBIE,21.71,1.31
OWNER SUR,OTC,CAT,N,NORMAL,MANX,BLUE TABBY,21.71,1.31
OWNER SUR,OTC,CAT,M,NORMAL,DOMESTIC SH,ORG TABBY,21.71,1.283
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,TORBIE,21.71,1.283
OWNER SUR,OTC,CAT,M,NORMAL,DOMESTIC SH,BRN TABBY,21.71,1.283
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC MH,BRN TABBY,21.71,1.283
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,BLACK,21.71,1.624
STRAY,OTC,DOG,M,SICK,PIT BULL,CHOCOLATE,21.71,1.603
STRAY,FIELD,DOG,F,INJURED,PIT BULL,TAN,21.71,1.603
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,BLUE,21.71,1.671
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC MH,BLACK,21.71,1.676
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,BRN TABBY,21.71,1.676
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,WHITE,21.71,1.676
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,BRN TABBY,21.71,1.676
STRAY,OTC,DOG,S,NORMAL,CHINESE SHARPEI,BLACK,21.71,1.689
OWNER SUR,NO SUBTYPE,DOG,S,NORMAL,YORKSHIRE TERR,BLACK,21.71,1.689
STRAY,FIELD,CAT,F,INJURED,DOMESTIC SH,WHITE,21.71,1.763
STRAY,OTC,DOG,S,NORMAL,LABRADOR RETR,BLACK,21.71,1.869
STRAY,OTC,DOG,S,SICK,POODLE MIN,BLACK,21.71,1.936
STRAY,OTC,DOG,S,SICK,POODLE MIN,BROWN,21.71,1.936
STRAY,OTC,DOG,N,SICK,DACHSHUND LH,BROWN,21.71,1.936
PUBLIC AST,OIJ,DOG,S,NORMAL,GERM SHEPHERD,WHITE,21.71,1.863
OWNER SUR,OTC,CAT,N,NORMAL,DOMESTIC SH,BLACK,21.71,3.103
OWNER SUR,OTC,CAT,N,NORMAL,DOMESTIC SH,BLACK,21.71,3.103
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,BRN TABBY,21.71,3.103
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,BLUE TABBY,21.71,3.103
STRAY,FIELD,DOG,S,NORMAL,REDBONE HOUND,RED,21.71,2.355
STRAY,OTC,CAT,S,NORMAL,SIAMESE,SEAL PT,21.71,2.186
STRAY,FIELD,DOG,S,NORMAL,CHIHUAHUA SH,BROWN,21.71,2.186
OWNER SUR,OTC,DOG,M,NORMAL,LABRADOR RETR,TAN,21.71,2.186
OWNER SUR,OTC,DOG,M,SICK,LABRADOR RETR,CHOCOLATE,21.71,2.936
OWNER SUR,NO SUBTYPE,DOG,N,NORMAL,YORKSHIRE TERR,CREAM,21.71,2.936
STRAY,FIELD,DOG,S,INJURED,AMERICAN STAFF,WHITE,21.71,13.186
STRAY,OTC,DOG,S,NORMAL,LABRADOR RETR,CHOCOLATE,21.71,13.186
STRAY,OTC,CAT,S,NURSING,DOMESTIC LH,BRN TABBY,21.71,13.186
PUBLIC AST,EMERGENCY,CAT,S,PREGNANT,DOMESTIC SH,BLACK,21.71,13.186
STRAY,OTC,DOG,N,NORMAL,SCHNAUZER MIN,WHITE,21.71,13.186
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,BLACK,21.71,13.186
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,TORBIE,21.71,13.186
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,BLACK,21.71,13.186
PUBLIC AST,QUARANTINE,CAT,S,NORMAL,DOMESTIC SH,BLACK,21.71,13.189
OWNER SUR,OTC,CAT,S,NURSING,DOMESTIC SH,TORBIE,21.71,13.936
STRAY,EMERG CLC,CAT,M,INJURED,DOMESTIC SH,BRN TABBY,21.71,18.186
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,BLACK,21.71,18.186
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,TORBIE,21.71,18.186
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,CALICO,21.71,18.186
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC LH,WHITE,21.71,18.186
PUBLIC AST,QUARANTINE,DOG,N,NORMAL,GERM SHEPHERD,BLACK,21.71,18.905
OWNER SUR,OTC,DOG,S,NORMAL,TOY FOX TERRIER,BUFF,21.71,19.189
STRAY,OTC,DOG,S,NORMAL,GOLDEN RETR,RED,21.71,19.189
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,TORBIE,21.71,20.189
PUBLIC AST,QUARANTINE,DOG,N,NORMAL,YORKSHIRE TERR,BLACK,21.71,22.232
OWNER SUR,OTC,DOG,N,NORMAL,CHIHUAHUA SH,TAN,21.71,21.189
PUBLIC AST,QUARANTINE,DOG,S,NORMAL,LABRADOR RETR,BLACK,21.71,21.991
STRAY,FIELD,DOG,N,NORMAL,SCHNAUZER MIN,WHITE,21.71,22.189
STRAY,OTC,DOG,N,NORMAL,GOLDEN RETR,RED,21.71,22.189
PUBLIC AST,QUARANTINE,DOG,M,NORMAL,ROTTWEILER,BLACK,21.71,22.969
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,TORBIE,21.71,24.219
STRAY,OTC,CAT,S,NORMAL,DOMESTIC SH,BRN TABBY,21.86,1.186
BORN IN,NO SUBTYPE,CAT,U,NORMAL,DOMESTIC SH,BLUE,21.86,1.186
STRAY,OTC,CAT,U,NORMAL,DOMESTIC SH,WHITE,21.86,1.186
BORN IN,NO SUBTYPE,CAT,U,NORMAL,DOMESTIC SH,BLUE,21.86,1.186
STRAY,OTC,CAT,S,NORMAL,DOMESTIC SH,BLUE,21.86,1.288
STRAY,OTC,DOG,M,INJURED,LABRADOR RETR,BLACK,21.86,1.288
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,ORANGE,21.86,1.299
STRAY,OTC,CAT,S,NORMAL,DOMESTIC SH,ORG TABBY,21.86,1.299
STRAY,OTC,CAT,M,SICK,DOMESTIC MH,ORG TABBY,21.86,1.31
STRAY,OTC,CAT,M,NORMAL,DOMESTIC SH,WHITE,21.86,1.346
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,BLUE TABBY,21.86,1.624
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,WHITE,21.86,1.624
OWNER SUR,OTC,CAT,N,NORMAL,DOMESTIC SH,BLACK,21.86,1.624
OWNER SUR,OTC,CAT,N,NORMAL,DOMESTIC SH,BLACK,21.86,1.624
OWNER SUR,OTC,CAT,N,NORMAL,DOMESTIC SH,BLACK,21.86,1.624
PUBLIC AST,EMERGENCY,DOG,N,NORMAL,WELSH CORGI CAR,BLACK,21.86,1.603
STRAY,OTC,DOG,S,NORMAL,LABRADOR RETR,BLACK,21.86,1.603
OWNER SUR,OTC,DOG,N,NORMAL,CHIHUAHUA SH,CREAM,21.86,1.791
STRAY,OTC,DOG,S,NORMAL,CATAHOULA,BRN MERLE,21.86,1.869
OWNER SUR,OTC,DOG,N,NORMAL,AUST CATTLE DOG,RED TICK,21.86,1.936
STRAY,OTC,DOG,N,NORMAL,NORWICH TERRIER,TAN,21.86,1.936
STRAY,OTC,DOG,M,NORMAL,DOBERMAN PINSCH,RED,21.86,3.103
OWNER SUR,OTC,DOG,S,NORMAL,STAFFORDSHIRE,BLACK,21.86,3.211
STRAY,OTC,CAT,S,NORMAL,SIAMESE,SEAL PT,21.86,13.186
STRAY,OTC,DOG,S,NORMAL,LABRADOR RETR,BROWN,21.86,2.186
STRAY,OTC,CAT,S,NORMAL,DOMESTIC SH,BLACK,21.86,2.186
STRAY,FIELD,DOG,S,NORMAL,AKITA,TAN,21.86,2.186
STRAY,OTC,DOG,S,NORMAL,LABRADOR RETR,BLACK,21.86,2.186
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,BRN TABBY,21.86,13.186
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,BRN TABBY,21.86,13.186
STRAY,FIELD,DOG,S,INJURED,PIT BULL,TAN,21.86,13.186
STRAY,FIELD,DOG,N,NORMAL,WEST HIGHLAND,WHITE,21.86,13.186
STRAY,FIELD,DOG,S,NORMAL,BORDER COLLIE,RED,21.86,13.186
PUBLIC AST,QUARANTINE,DOG,S,NORMAL,CHIHUAHUA SH,TAN,21.86,13.186
STRAY,OTC,DOG,S,NORMAL,LABRADOR RETR,BLACK,21.86,18.186
OWNER SUR,OTC,DOG,N,NORMAL,FOX TERR SMOOTH,TRICOLOR,21.86,18.186
OWNER SUR,OTC,DOG,S,SICK,DACHSHUND,BROWN,21.86,18.932
STRAY,FIELD,DOG,S,NORMAL,AMERICAN STAFF,BLACK,21.86,20.211
STRAY,OTC,CAT,N,NORMAL,DOMESTIC SH,BRN TABBY,21.86,19.189
OWNER SUR,OTC,CAT,S,NORMAL,DOMESTIC SH,BLUE,21.86,19.189
PUBLIC AST,QUARANTINE,DOG,F,NORMAL,BOXER,WHITE,21.86,19.189
STRAY,FIELD,DOG,S,NORMAL,AMERICAN STAFF,TAN,21.86,19.189
STRAY,OTC,DOG,S,NORMAL,SIBERIAN HUSKY,BLACK,21.86,20.189
